M4V ;MPEG-4;;;;
isom;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;Base Media
iso2;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;Base Media
mp41;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;Base Media / Version 1
mp42;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;Base Media / Version 2
avc1;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;JVT
3gp1;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 1
3gp2;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 2
3gp3;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 3
3gp4;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 4
3gp5;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 5
3gp6;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 6 Basic
3gp6;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 6 Progressive Download
3gp6;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 6 Streaming Servers
3gp7;MPEG-4;;;http://www.3gpp.org/;3GPP Media Release 7 Streaming Servers
3g2a;MPEG-4;;;http://www.3gpp2.org/;3GPP2 Media
3ge6;MPEG-4;;;http://www.3gpp.org/;3GPP Release 6 MBMS Extended Presentation
3ge7;MPEG-4;;;http://www.3gpp.org/;3GPP Release 7 MBMS Extended Presentation
3gg6;MPEG-4;;;http://www.3gpp.org/;3GPP Release 6 General
3gp8;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;
3gp9;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;
CAQV;MPEG-4;;;http://world.casio.com/;Casio
FACE;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;Facebook
isml;MPEG-4;IIS Smooth Streaming file format;;http://www.apple.com/quicktime/download/standalone.html;ISML
JP20;MPEG-4;;;http://gpac.sourceforge.net/;JPEG 2000
JPM ;MPEG-4;;;http://www.iso.org/;JPEG 2000 Compound Image
JPX ;MPEG-4;;;http://www.iso.org/;JPEG 2000 w/ extensions
KDDI;MPEG-4;;;http://www.3gpp2.org/;3GPP2 EZMovie for KDDI 3G Cellphones
MJ2S;MPEG-4;;;http://www.iso.org/;Motion JPEG 2000 Simple Profile
MJP2;MPEG-4;;;http://www.iso.org/;Motion JPEG 2000 General Profile
MQT ;MPEG-4;;;http://www.sony.com/;Sony/Mobile QuickTime
MSNV;MPEG-4;;;http://www.sony.com/;Sony PSP
ndas;MPEG-4;;;http://www.nerodigital.com;Nero Digital AAC Audio
ndsc;MPEG-4;;;http://www.nerodigital.com;Nero Digital Cinema Profile
ndsh;MPEG-4;;;http://www.nerodigital.com;Nero Digital HDTV Profile
ndsm;MPEG-4;;;http://www.nerodigital.com;Nero Digital Mobile Profile
ndsp;MPEG-4;;;http://www.nerodigital.com;Nero Digital Portable Profile
ndss;MPEG-4;;;http://www.nerodigital.com;Nero Digital Standard Profile
ndxc;MPEG-4;;;http://www.nerodigital.com;Nero Digital AVC Cinema Profile
ndxh;MPEG-4;;;http://www.nerodigital.com;Nero Digital AVC HDTV Profile
ndxm;MPEG-4;;;http://www.nerodigital.com;Nero Digital AVC Mobile Profile
ndxp;MPEG-4;;;http://www.nerodigital.com;Nero Digital AVC Portable Profile
ndxs;MPEG-4;;;http://www.nerodigital.com;Nero Digital AVC Standard Profile
mmp4;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;Mobile version
mp71;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;ISO 14496-12 MPEG-7 meta data
mp7b;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;ISO 14496-12 MPEG-7 meta data
piff;MPEG-4;Protected Interoperable File Format;;http://www.apple.com/quicktime/download/standalone.html;PIFF
qt  ;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;QuickTime
SDV ;MPEG-4;;;http://www.sdcard.org/;SD Memory Card Video
M4A ;MPEG-4;;;http://www.apple.com/itunes/;Apple audio with iTunes info
M4B ;MPEG-4;;;http://www.apple.com/itunes/;Apple audio with iTunes position
M4P ;MPEG-4;;;http://www.apple.com/itunes/;AES encrypted audio
M4VP;MPEG-4;;;http://www.apple.com/iphone/;Apple iPhone
iphE;MPEG-4;;;http://www.apple.com/iphone/;Apple iPhone (Cellular)
M4VH;MPEG-4;;;http://www.apple.com/appletv/;Apple TV
QTCA;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;Quicktime compressed archive
CAQV;MPEG-4;;;;Casio Digital Camera
QTI ;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;QuickTime Image
f4v ;MPEG-4;;;http://www.apple.com/quicktime/download/standalone.html;Adobe Flash
